Country,Project,Main_fuel,Other_fuels,Location,Status,Capacity,Began_operations,Owner,Capital,CompanyHQ,Shareholders,Notes,Links,Latitude,Longitude,capacity_old,Fuel_test
Brasil,Alumar,Carbón,,São Luís - MA,Activa,75,20/10/2009,Consórcio De Alumínio Do Maranhão Consórcio Alumar,Privado,São Luis,Consórcio De Alumínio Do Maranhão Consórcio Alumar,werid coordinates,,-2.42243,-44.2136,75,Carbón
Brasil,Copesul,Petróleo,,Triunfo - RS,Activa,74,1/3/99,Braskem S/A,Privado,São Paulo,Braskem S/A,werid coordinates,,-29.56348,-51.4348,74,Otro
Brasil,REFAP,Fuel oil,,Canoas - RS,Activa,72,7/7/09,Petróleo Brasileiro S A Petrobras,Mixto,Rio de Janeiro,Petróleo Brasileiro S A Petrobras,werid coordinates,,-29.557309,-51.105171,72,Fuel oil
Brasil,Manauara,Gas natural,,Manaus - AM,Activa,68,22/9/2006,Companhia Energética Manauara,Privado,Manaus,Companhia Energética Manauara,werid coordinates,,-2.56273,-60.1187,68,Gas
Brasil,Potiguar III,Diesel,,Macaíba - RN,Activa,66,3/3/09,Companhia Energética Potiguar S.A.,Privado,Macaíba,Companhia Energética Potiguar S.A.,werid coordinates,,-5.522208,-35.3126969,66,Diesel
Brasil,Ponta Negra,Gas natural,,Manaus - AM,Activa,66,15/12/2006,Gera Amazonas Geradora De Energia Do Amazonas S.A.,Privado,Manaus,Gera Amazonas Geradora De Energia Do Amazonas S.A.,werid coordinates,,-3.536,-60.426,66,Gas
Brasil,Refinaria Duque de Caxias - REDUC,Gas natural,,Duque de Caxias - RJ,Activa,63,1/1/76,Petróleo Brasileiro S A Petrobras,Mixto,Rio de Janeiro,Petróleo Brasileiro S A Petrobras,werid coordinates,,-22.4252,-43.165002,63,Gas
Brasil,Refinaria Landulpho Alves (RLAM),Otro,,São Francisco do Conde - BA,Activa,63,8/1/01,Petróleo Brasileiro S A Petrobras,Mixto,Rio de Janeiro,Petróleo Brasileiro S A Petrobras,werid coordinates,,-12.37408,-38.4048,63,Gas
Brasil,Gabriel Passos,Petróleo,,Betim - MG,Activa,57,11/1/03,Petróleo Brasileiro S A Petrobras,Mixto,Rio de Janeiro,Petróleo Brasileiro S A Petrobras,werid coordinates,,-19.575862,-44.54388,57,Otro
Brasil,Parnaíba IV,Gas natural,,Santo Antônio dos Lopes - MA,Activa,56,13/12/2013,Parnaíba Ii Geração De Energia S.A,Privado,Rio de Janeiro,Parnaíba Ii Geração De Energia S.A,werid coordinates,,-4.4952,-44.21112,56,Gas
Brasil,Xavantes Aruanã,Diesel,,Goiânia - GO,Activa,54,17/07/2002,Usina Xavantes S.A.,Privado,Goiânia,Usina Xavantes S.A.,werid coordinates,,-16.3454,-49.1527,54,Diesel
Brasil,Potiguar,Diesel,,Macaíba - RN,Activa,53,3/3/09,Companhia Energética Potiguar S.A.,Privado,Macaíba,Companhia Energética Potiguar S.A.,werid coordinates,,-5.52286,-35.181,53,Diesel
Brasil,Refinaria Presidente Getúlio Vargas (REPAR),Otro,,Araucária - PR,Activa,52,1/1/76,Petróleo Brasileiro S A Petrobras,Mixto,Rio de Janeiro,Petróleo Brasileiro S A Petrobras,werid coordinates,,-25.342,-49.22,52,Gas
Brasil,Mauá Parte III Bloco Iranduba,Diesel,,Iranduba - AM,Activa,50,16/11/2010,Amazonas Geração E Transmissão De Energia S.A,Privado,Cachoeirinha,Amazonas Geração E Transmissão De Energia S.A,werid coordinates,,-3.542396,-60.284944,50,Diesel
México,CT Francisco Pérez Ríos,Fuel oil,Gas natural y vapor,"Tula, Hidalgo",Activa,1500,1975,,,Ciudad de México,,,,20.0554777,-99.277332,"1,500.00",Fuel oil
México,CT Punta Prieta II,Fuel oil,,"La Paz, Baja California Sur",Activa,113,1979,Comisión Federal de Electricidad (CFE),Estatal,Ciudad de México,100% estatal,,,24.223015,-110.30934,113,Fuel oil
México,Central de Combustión Interna Baja California Sur,Fuel oil,Diesel,"La Paz, Baja California Sur",Activa,121,2005,Comisión Federal de Electricidad (CFE),Estatal,Ciudad de México,100% estatal,,,24.1980433,-110.25651,121,Fuel oil
México,CT Benito Juárez,Fuel oil,Vapor,"Ciudad Juárez, Chihuahua",Activa,316,1985,Comisión Federal de Electricidad (CFE),Estatal,Ciudad de México,100% estatal,,,31.3313887,-106.48597,316,Vapor
México,CT Adolfo López Mateos,Fuel oil,,"Tuxpan, Veracruz",Activa,2100,1991,Comisión Federal de Electricidad (CFE),Estatal,Ciudad de México,100% estatal,,,21.0142495,-97.333803,"2,100.00",Fuel oil
México,CT General Manuel Álvarez Moreno,Fuel oil,Gas natural y vapor,"Manzanillo, Colima",Activa,2754,1982,Comisión Federal de Electricidad (CFE),Estatal,Ciudad de México,100% estatal,,,19.02717,-104.3198,"2,754.00",Fuel oil
México,CT Salamanca,Fuel oil,Gas natural,"Salamanca, Guanajuato",Activa,866,1971,Comisión Federal de Electricidad (CFE),Estatal,Ciudad de México,100% estatal,,,20.5689926,-101.17026,866,Fuel oil
México,CT Altamira,Fuel oil,Gas natural,"Altamira, Tamaulipas",Activa,800,1976,Comisión Federal de Electricidad (CFE),Estatal,Ciudad de México,100% estatal,,,22.4345136,-98.008003,800,Fuel oil
México,CT Manzanillo II,Fuel oil,Gas natural y vapor,"Manzanillo, Colima",Activa,700,1989,Comisión Federal de Electricidad (CFE),Estatal,Ciudad de México,100% estatal,falls into Laos,,19.0245734,-104.320228,700,Fuel oil
México,CT Carlos Rodríguez Rivero,Fuel oil,,"Guaymas, Sonora",Cerrada,484,1973,Comisión Federal de Electricidad (CFE),Estatal,Ciudad de México,100% estatal,,,27.9367777,-110.8628,484,Fuel oil
México,CT José Aceves Pozos,Fuel oil,,"Mazatlán, Sinaloa",Activa,616,1976,Comisión Federal de Electricidad (CFE),Estatal,Ciudad de México,100% estatal,,,23.1893636,-106.35598,616,Fuel oil
México,CT Lerma,Fuel oil,,"Campeche, Campeche",Activa,150,1976,Comisión Federal de Electricidad (CFE),Estatal,Ciudad de México,100% estatal,,,19.7951332,-90.613089,150,Fuel oil
México,CT Mérida II,Fuel oil,,"Mérida, Yucatán",Activa,168,1981,Comisión Federal de Electricidad (CFE),Estatal,Ciudad de México,100% estatal,,,20.927031,-89.6879518,168,Fuel oil
México,CT Puerto Libertad,Fuel oil,Gas natural,"Pitiquito, Sonora",Activa,632,1985,Comisión Federal de Electricidad (CFE),Estatal,Ciudad de México,100% estatal,,,29.9057967,-112.69282,632,Fuel oil
México,CT Guadalupe Victoria,Fuel oil,Vapor,"Lerdo, Durango",Activa,320,1991,Comisión Federal de Electricidad (CFE),Estatal,Ciudad de México,100% estatal,,,25.4929458,-103.57043,320,Fuel oil
México,CT Presidente Plutarco Elías Calles,Carbón,Petróleo,"Petacalco, Guerrero",Activa,2100,1993,Comisión Federal de Electricidad (CFE),Estatal,Ciudad de México,100% estatal,,,17.98257,-102.11603,"2,100",Carbón
México,CT Carbón II,Carbón,,"Nava, Coahuila",Activa,1400,1993,Comisión Federal de Electricidad (CFE),Estatal,Ciudad de México,100% estatal,,,28.4675,-100.69779,"1,400",Carbón
México,CT José López Portillo,Carbón,,"Nava, Coahuila",Activa,1200,1982,Comisión Federal de Electricidad (CFE),Estatal,Ciudad de México,100% estatal,,,28.48619,-100.69278,"1,200",Carbón
